ID,AGE,ANNUAL_INCOME,CREDIT_SCORE,LOAN_AMOUNT,YEARS_AT_JOB,EXISTING_LOANS,DEBT_TO_INCOME_RATIO,PROBABILITY_OF_DEFAULT,TARGET
1312,55,814000,597,2687997,2,0,0,0.194540042,0
1313,51,200000,593,798574,6,0,0,0.334755742,0
1314,51,317000,731,681059,0,0,0,0.451422026,0
1315,57,200000,584,667728,2,0,0,0.357543452,0
1316,42,212000,741,610244,0,1,0.490505929,0.687597949,1
1317,50,200000,772,456494,0,0,0,0.457697744,0
1318,38,220000,483,418322,2,1,0.641200169,0.555189656,0
1319,45,225000,763,841434,4,2,0.617344964,0.455897532,0
1320,40,436000,856,1303046,1,0,0,0.3429051,0
1321,43,328000,675,1168445,3,1,0.214339874,0.363428604,0
1322,49,200000,709,572672,2,1,0.658745805,0.504379849,0
1323,32,711000,753,1457509,1,1,0.088980318,0.325201234,0
1324,67,324000,622,759414,1,0,0,0.509488934,0
1325,29,320000,668,785231,1,1,0.43995209,0.587885147,0
1326,27,266000,518,1046001,1,0,0,0.526098211,0
1327,55,200000,663,302816,3,0,0,0.280306924,0
1328,51,326000,699,1292317,0,1,0.221372002,0.514744905,0
1329,49,411000,701,1623924,0,0,0,0.394501673,0
1330,49,200000,756,798075,3,1,0.579124008,0.486202464,0
1331,41,200000,572,538294,2,1,0.68532499,0.559141068,0
1332,31,213000,596,832728,1,1,0.282394438,0.621078609,0
1333,42,337000,839,838792,0,0,0,0.394434468,0
1334,33,785000,634,1229102,1,3,0.556148147,0.555488034,0
1335,53,200000,670,412173,4,1,0.566722684,0.561121435,0
1336,40,200000,643,772648,6,0,0,0.374338382,0
1337,32,200000,567,306882,3,0,0,0.38472503,0
1338,38,200000,812,572997,0,1,0.770752489,0.587227558,0
1339,46,200000,597,337800,3,2,1.779931306,0.597129239,0
1340,35,536000,537,1187771,0,1,0.195208389,0.559823164,0
1341,32,200000,604,344046,1,1,0.844099563,0.719837046,1
1342,44,394000,449,1437635,0,0,0,0.50357724,0
1343,44,200000,584,595535,4,0,0,0.330395169,0
1344,35,200000,553,751053,3,0,0,0.391301781,0
1345,36,200000,711,644176,2,1,0.56452459,0.550786018,0
1346,44,1211000,582,4756290,3,0,0,0.17251876,0
1347,24,209000,738,579911,0,0,0,0.464657263,0
1348,25,200000,789,619355,1,0,0,0.40630047,0
1349,33,200000,728,588154,3,2,1.262116822,0.493112986,0
1350,39,276000,628,748139,3,1,0.61052589,0.543980289,0
1351,45,466000,664,1684542,4,0,0,0.213856541,0
1352,59,376000,497,1169853,1,2,0.721269009,0.704459761,1
1353,52,312000,636,1093023,4,0,0,0.33666703,0
1354,40,763000,563,2644489,1,0,0,0.355053782,0
1355,41,200000,719,395522,3,0,0,0.26795011,0
1356,29,600000,900,1875245,1,0,0,0.331911938,0
1357,41,200000,699,399824,8,0,0,0.281183683,0
1358,38,200000,450,591660,0,1,0.721804691,0.737080111,1
1359,45,200000,613,638717,3,1,0.612819455,0.566392077,0
1360,32,209000,662,834555,2,1,0.42122819,0.527273208,0
1361,48,257000,658,405123,0,1,0.459463954,0.68644044,1
1362,60,297000,576,513247,0,1,0.387700366,0.641871866,0
1363,40,283000,674,478996,4,0,0,0.302170503,0
1364,46,200000,525,499180,0,1,0.301596662,0.680470393,1
1365,50,226000,555,803197,0,1,0.577040849,0.71480771,1
1366,37,200000,714,722028,11,2,1.326813781,0.519865073,0
1367,44,915000,548,3058340,3,0,0,0.18198067,0
1368,42,204000,703,763407,0,0,0,0.451948064,0
1369,43,200000,513,461429,2,1,0.564113878,0.577054086,0
1370,32,1121000,826,1928553,2,1,0.090189498,0.097227215,0
1371,42,200000,572,329076,5,0,0,0.343687978,0
1372,47,200000,627,726066,3,1,0.502101507,0.590366434,0
1373,59,200000,683,665218,5,0,0,0.305954683,0
1374,53,252000,593,818127,0,3,1.861171722,0.664971708,1
1375,67,395000,664,927930,3,0,0,0.265309076,0
1376,32,522000,707,1278776,0,0,0,0.392911467,0
1377,52,2716000,746,5000000,0,0,0,0.292432382,0
1378,44,200000,729,331902,3,0,0,0.335786425,0
1379,68,464000,632,1593528,0,0,0,0.457557447,0
1380,32,200000,635,454816,2,1,0.826497167,0.574234194,0
1381,31,200000,884,319527,5,2,0.919547538,0.497386173,0
1382,34,200000,744,671285,1,0,0,0.425507123,0
1383,22,200000,557,465455,0,1,0.455192199,0.692246816,1
1384,35,1222000,659,4039160,3,0,0,0.1188531,0
1385,32,572000,616,1869945,7,0,0,0.239854366,0
1386,43,273000,636,774492,3,0,0,0.334978365,0
1387,46,905000,527,3116306,2,0,0,0.188263639,0
1388,64,200000,608,590519,0,1,0.30742271,0.631935448,0
1389,53,200000,831,443318,0,0,0,0.411227936,0
1390,35,200000,707,667057,3,2,0.97652303,0.495446152,0
1391,31,200000,400,594569,0,1,0.701497914,0.751974385,1
1392,47,310000,771,474863,5,1,0.271983117,0.404668953,0
1393,26,294000,758,1103708,1,2,1.13272699,0.633938437,0
1394,63,306000,614,876417,2,2,0.618422283,0.566233107,0
1395,56,200000,721,734313,4,1,0.498735774,0.542426599,0
1396,36,552000,564,2046176,4,0,0,0.272578061,0
1397,22,332000,602,867322,3,0,0,0.290570967,0
1398,58,519000,799,1437188,8,1,0.132748003,0.274406779,0
1399,40,200000,622,507877,12,1,0.476862347,0.556076208,0
1400,56,355000,463,931375,8,2,0.919178001,0.553334265,0
1401,22,200000,643,747573,5,0,0,0.30865888,0
1402,34,200000,642,694072,3,0,0,0.341723832,0
1403,42,434000,769,788280,3,0,0,0.210549592,0
1404,42,291000,651,880498,0,2,0.788137427,0.704249832,1
1405,36,200000,607,797953,0,0,0,0.510555091,0
1406,49,269000,754,804007,0,0,0,0.410609763,0
1407,29,200000,662,692935,0,0,0,0.450906402,0
1408,40,755000,574,2584103,1,0,0,0.391588995,0
1409,43,223000,765,529802,0,0,0,0.460029328,0
1410,48,734000,669,1783343,6,1,0.133513847,0.256618762,0
1411,50,200000,650,662038,4,0,0,0.344763436,0
1412,28,200000,667,549991,0,1,0.32410018,0.617693639,0
1413,23,200000,542,585285,0,3,1.043127547,0.705343678,1
1414,57,590000,597,1936536,5,3,0.473691008,0.486717844,0
1415,45,200000,650,688787,4,1,0.482521661,0.524269844,0
1416,33,479000,630,1043641,8,1,0.225583344,0.312516127,0
1417,60,200000,777,373396,18,0,0,0.275836134,0
1418,43,200000,671,445897,11,3,2.288536221,0.489361591,0
1419,56,200000,735,553769,1,0,0,0.441338379,0
1420,42,200000,650,471070,0,0,0,0.494159582,0
1421,66,276000,755,806170,4,0,0,0.231599781,0
1422,63,200000,689,326732,1,0,0,0.507353386,0
1423,39,617000,651,1711790,4,0,0,0.239780912,0
1424,53,247000,648,597730,2,1,0.656970572,0.501787188,0
1425,49,228000,554,646760,4,1,0.43634706,0.513992675,0
1426,58,484000,700,1237265,0,1,0.214950582,0.478213717,0
1427,30,638000,645,1410340,2,0,0,0.200309181,0
1428,50,263000,599,988950,2,2,0.750754559,0.485017526,0
1429,54,200000,760,392382,8,0,0,0.249322411,0
1430,22,200000,524,640682,0,0,0,0.511107401,0
1431,27,200000,607,762322,8,1,0.455660836,0.492353169,0
1432,22,200000,752,569334,4,2,1.685369841,0.451569701,0
1433,38,295000,681,1088851,3,0,0,0.335176927,0
1434,50,200000,645,362425,4,1,0.719093355,0.512413731,0
1435,60,498000,675,1361767,2,1,0.204151029,0.332472669,0
1436,42,200000,667,528512,0,2,1.122263984,0.645607575,0
1437,61,254000,498,386155,0,0,0,0.475172497,0
1438,25,778000,615,2029135,6,0,0,0.22498663,0
1439,22,364000,811,881817,3,0,0,0.201162352,0
1440,41,254000,584,806322,0,0,0,0.444405024,0
1441,46,200000,618,769164,2,0,0,0.352723033,0
1442,41,200000,595,342895,1,3,2.560277619,0.653013424,0
1443,22,200000,641,463738,0,0,0,0.479961928,0
1444,40,200000,591,522032,2,2,1.207304631,0.531883605,0
1445,26,529000,698,1395482,0,0,0,0.367025132,0
1446,50,219000,669,752708,0,2,1.438273068,0.622639904,0
1447,46,200000,727,521697,1,1,0.383070088,0.65732931,1
1448,30,1317000,544,2064928,2,0,0,0.170362977,0
1449,35,357000,615,1169267,0,1,0.328061511,0.594225818,0
1450,29,200000,627,742414,1,0,0,0.507612248,0
1451,41,200000,695,556952,0,0,0,0.498085512,0
1452,53,296000,570,874020,0,0,0,0.496790912,0
1453,30,1244000,741,2372732,0,0,0,0.279219811,0
1454,48,200000,768,410322,0,1,0.804508998,0.638873529,0
1455,35,645000,551,1346712,0,1,0.218946288,0.479789363,0
1456,32,945000,600,2435127,4,0,0,0.196063391,0
1457,40,200000,596,764072,1,2,1.664727986,0.737864386,1
1458,29,209000,900,586132,0,2,1.042867752,0.561530667,0
1459,35,200000,607,396048,0,0,0,0.501932685,0
1460,27,223000,817,482843,1,0,0,0.44028091,0
1461,65,259000,523,637149,4,0,0,0.31927654,0
1462,42,485000,551,1483201,1,1,0.142256498,0.544945614,0
1463,33,715000,581,1859059,0,0,0,0.379594311,0
1464,44,200000,565,496222,1,0,0,0.526212408,0
1465,40,200000,623,582364,2,1,0.316197595,0.436636646,0
1466,39,263000,579,553506,0,1,0.538236663,0.667693469,1
1467,49,349000,568,592343,2,0,0,0.285516788,0
1468,51,335000,765,522946,1,2,0.788531137,0.587649872,0
1469,35,200000,772,425629,0,1,0.815533682,0.641906343,0
1470,35,300000,744,518694,3,0,0,0.31036296,0
1471,38,1049000,702,2455553,3,1,0.069238543,0.147067759,0
